prompt_idx,reward,k_t,advantage,abs_advantage,group_mean_reward,data_source
3,0.0,0.055311109870672226,0.0,0.0,0.0,kk_logic
3,0.0,0.07745630294084549,0.0,0.0,0.0,kk_logic
4,0.0,0.05868194252252579,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
4,0.0,0.08608867973089218,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
4,0.0,0.09444566816091537,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
9,0.0,0.07389518618583679,0.0,0.0,0.0,kk_logic
10,0.0,0.05477652698755264,0.0,0.0,0.0,kk_logic
10,0.0,0.062445398420095444,0.0,0.0,0.0,kk_logic
11,0.0,0.0707375779747963,0.0,0.0,0.0,kk_logic
12,0.0,0.059894073754549026,0.0,0.0,0.0,kk_logic
13,0.0,0.06711968779563904,0.0,0.0,0.0,HuggingFaceH4/MATH-500
15,0.0,0.05529267340898514,0.0,0.0,0.0,kk_logic
15,0.0,0.055686771869659424,0.0,0.0,0.0,kk_logic
18,0.0,0.0599730908870697,0.0,0.0,0.0,kk_logic
26,0.0,0.05956844240427017,0.0,0.0,0.0,HuggingFaceH4/MATH-500
31,0.0,0.06344417482614517,-0.8,0.8,0.8,sciq
32,0.0,0.05886666476726532,-0.8,0.8,0.8,sciq
35,0.0,0.08518200367689133,-0.6,0.6,0.6,sciq
35,0.0,0.09912880510091782,-0.6,0.6,0.6,sciq
36,0.0,0.053477562963962555,0.0,0.0,0.0,kk_logic
