prompt_idx,reward,k_t,advantage,abs_advantage,group_mean_reward,data_source
0,0.0,0.6600196361541748,0.0,0.0,0.0,kk_logic
0,0.0,0.6550850868225098,0.0,0.0,0.0,kk_logic
0,0.0,0.785710871219635,0.0,0.0,0.0,kk_logic
0,0.0,0.4510623812675476,0.0,0.0,0.0,kk_logic
0,0.0,0.5653878450393677,0.0,0.0,0.0,kk_logic
1,1.0,0.5366398692131042,0.0,0.0,1.0,sciq
1,1.0,0.778607964515686,0.0,0.0,1.0,sciq
1,1.0,0.8735193014144897,0.0,0.0,1.0,sciq
1,1.0,0.6931804418563843,0.0,0.0,1.0,sciq
1,1.0,0.8747438788414001,0.0,0.0,1.0,sciq
2,1.0,0.957078754901886,0.0,0.0,1.0,sciq
2,1.0,0.9822292327880859,0.0,0.0,1.0,sciq
2,1.0,1.156869649887085,0.0,0.0,1.0,sciq
2,1.0,1.1942569017410278,0.0,0.0,1.0,sciq
2,1.0,1.0351358652114868,0.0,0.0,1.0,sciq
3,0.0,0.43096864223480225,0.0,0.0,0.0,kk_logic
3,0.0,0.6487971544265747,0.0,0.0,0.0,kk_logic
3,0.0,0.7581954002380371,0.0,0.0,0.0,kk_logic
3,0.0,0.5775290727615356,0.0,0.0,0.0,kk_logic
3,0.0,0.5059390068054199,0.0,0.0,0.0,kk_logic
4,0.0,0.14131084084510803,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
4,0.0,0.21173518896102905,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
4,1.0,0.0760791078209877,0.8,0.8,0.2,HuggingFaceH4/MATH-500
4,0.0,0.2794642746448517,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
4,0.0,0.16755372285842896,-0.2,0.2,0.2,HuggingFaceH4/MATH-500
5,0.0,1.0010439157485962,-0.4,0.4,0.4,sciq
5,0.0,0.9859656095504761,-0.4,0.4,0.4,sciq
5,1.0,0.9635409116744995,0.6,0.6,0.4,sciq
5,1.0,0.8630173802375793,0.6,0.6,0.4,sciq
5,0.0,1.0448538064956665,-0.4,0.4,0.4,sciq
6,0.0,0.43658122420310974,0.0,0.0,0.0,HuggingFaceH4/MATH-500
6,0.0,0.2781035900115967,0.0,0.0,0.0,HuggingFaceH4/MATH-500
6,0.0,0.33016401529312134,0.0,0.0,0.0,HuggingFaceH4/MATH-500
6,0.0,0.2877234220504761,0.0,0.0,0.0,HuggingFaceH4/MATH-500
6,0.0,0.47940492630004883,0.0,0.0,0.0,HuggingFaceH4/MATH-500
7,0.0,0.40876907110214233,0.0,0.0,0.0,HuggingFaceH4/MATH-500
7,0.0,0.4517456889152527,0.0,0.0,0.0,HuggingFaceH4/MATH-500
7,0.0,0.4380194842815399,0.0,0.0,0.0,HuggingFaceH4/MATH-500
7,0.0,0.27812597155570984,0.0,0.0,0.0,HuggingFaceH4/MATH-500
7,0.0,0.33095473051071167,0.0,0.0,0.0,HuggingFaceH4/MATH-500
8,1.0,0.07327491044998169,0.19999999999999996,0.19999999999999996,0.8,HuggingFaceH4/MATH-500
8,1.0,0.2029304802417755,0.19999999999999996,0.19999999999999996,0.8,HuggingFaceH4/MATH-500
8,0.0,0.1257685273885727,-0.8,0.8,0.8,HuggingFaceH4/MATH-500
8,1.0,0.19147977232933044,0.19999999999999996,0.19999999999999996,0.8,HuggingFaceH4/MATH-500
8,1.0,0.13104990124702454,0.19999999999999996,0.19999999999999996,0.8,HuggingFaceH4/MATH-500
9,0.0,0.4497492015361786,-0.4,0.4,0.4,kk_logic
9,1.0,0.5099829435348511,0.6,0.6,0.4,kk_logic
9,0.0,0.5819554328918457,-0.4,0.4,0.4,kk_logic
9,0.0,0.7608563303947449,-0.4,0.4,0.4,kk_logic
9,1.0,0.5893213152885437,0.6,0.6,0.4,kk_logic
10,0.0,0.537077784538269,0.0,0.0,0.0,kk_logic
10,0.0,0.529874861240387,0.0,0.0,0.0,kk_logic
10,0.0,0.6360915303230286,0.0,0.0,0.0,kk_logic
10,0.0,0.5025436878204346,0.0,0.0,0.0,kk_logic
10,0.0,0.5968829989433289,0.0,0.0,0.0,kk_logic
11,0.0,0.6097420454025269,0.0,0.0,0.0,kk_logic
11,0.0,0.5886234045028687,0.0,0.0,0.0,kk_logic
11,0.0,0.4913133382797241,0.0,0.0,0.0,kk_logic
11,0.0,0.6661401987075806,0.0,0.0,0.0,kk_logic
11,0.0,0.5218430757522583,0.0,0.0,0.0,kk_logic
12,0.0,0.5567062497138977,0.0,0.0,0.0,kk_logic
12,0.0,0.7071018815040588,0.0,0.0,0.0,kk_logic
12,0.0,0.7850948572158813,0.0,0.0,0.0,kk_logic
12,0.0,0.627395510673523,0.0,0.0,0.0,kk_logic
12,0.0,0.557536244392395,0.0,0.0,0.0,kk_logic
13,0.0,0.40874341130256653,0.0,0.0,0.0,HuggingFaceH4/MATH-500
13,0.0,0.43242308497428894,0.0,0.0,0.0,HuggingFaceH4/MATH-500
13,0.0,0.4220551550388336,0.0,0.0,0.0,HuggingFaceH4/MATH-500
