prompt_idx,reward,k_t,advantage,abs_advantage,group_mean_reward,data_source
13,0.0,1.0070099830627441,0.0,0.0,0.0,sciq
13,0.0,1.2052202224731445,0.0,0.0,0.0,sciq
13,0.0,1.0349934101104736,0.0,0.0,0.0,sciq
13,0.0,1.2211261987686157,0.0,0.0,0.0,sciq
13,0.0,1.0777084827423096,0.0,0.0,0.0,sciq
32,0.0,1.090370535850525,-0.8,0.8,0.8,sciq
36,0.0,2.822165012359619,-0.2,0.2,0.2,sciq
36,0.0,1.981253743171692,-0.2,0.2,0.2,sciq
36,0.0,2.660095691680908,-0.2,0.2,0.2,sciq
53,0.0,1.8424557447433472,-0.8,0.8,0.8,sciq
58,0.0,1.0449869632720947,-0.2,0.2,0.2,sciq
58,0.0,1.2273337841033936,-0.2,0.2,0.2,sciq
58,0.0,0.9828793406486511,-0.2,0.2,0.2,sciq
58,0.0,1.0710586309432983,-0.2,0.2,0.2,sciq
63,0.0,1.2827339172363281,-0.2,0.2,0.2,sciq
63,0.0,1.1585474014282227,-0.2,0.2,0.2,sciq
63,0.0,0.9746376276016235,-0.2,0.2,0.2,sciq
81,0.0,1.112640142440796,-0.8,0.8,0.8,sciq
87,0.0,1.0735489130020142,0.0,0.0,0.0,sciq
87,0.0,1.206296682357788,0.0,0.0,0.0,sciq
